dataset,accuracy,precision,recall,f1,roc_auc
Human Test,0.983402489626556,0.9897959183673469,0.97,0.9797979797979798,0.998936170212766
LLM Test,0.5,0.5003584229390681,0.698,0.5828810020876827,0.544876753507014
