dataset,accuracy,precision,recall,f1,roc_auc
Human Test - Tuned SVM,0.9875518672199171,1.0,0.97,0.9847715736040609,0.9988652482269504
LLM Test - Tuned SVM,0.4974974974974975,0.4985228951255539,0.675,0.5734919286321155,0.5392474949899799
