feature,legit_mean,phishing_mean,difference
char_count,1962.7,818.2826666666666,-1144.4173333333333
word_count,272.3535294117647,122.17866666666667,-150.17486274509804
uppercase_count,141.27058823529413,37.720666666666666,-103.54992156862747
digit_count,113.89411764705882,13.482666666666667,-100.41145098039215
url_count,7.370588235294117,1.8233333333333333,-5.547254901960784
urgent_keyword_count,2.8105882352941176,4.712666666666666,1.9020784313725487
question_count,1.066470588235294,0.43066666666666664,-0.6358039215686274
exclamation_count,1.141764705882353,0.5506666666666666,-0.5910980392156864
avg_word_length,5.848620658243591,5.92038342825082,0.07176277000722919
uppercase_ratio,0.05651302489585527,0.05367579511481059,-0.002837229781044677
