dataset,accuracy,precision,recall,f1,roc_auc
Human Test - RF Tuned,0.8796680497925311,0.8736842105263158,0.83,0.8512820512820513,0.9733333333333334
LLM Test - RF Tuned,0.5315315315315315,0.5247295208655333,0.679,0.5919790758500436,0.5318977955911823
