Modelo,F1 Human,F1 LLM,F1 Drop Abs,F1 Drop Rel (%),Recall Human,Recall LLM,Recall Drop Abs
TF-IDF + SVM,0.9848,0.5731,0.4116,41.8,0.97,0.668,0.302
Random Forest,0.8513,0.592,0.2593,30.5,0.83,0.679,0.151
